DATE,GDP,Growth Rate
1/1/47,243.164,
4/1/47,245.968,0.011531312
7/1/47,249.585,0.014705165
10/1/47,259.745,0.040707575
1/1/48,265.742,0.023088029
4/1/48,272.567,0.025682805
7/1/48,279.196,0.024320626
10/1/48,280.366,0.004190604
1/1/49,275.034,-0.019017998
4/1/49,271.351,-0.013391072
7/1/49,272.889,0.005667936
10/1/49,270.627,-0.008289085
1/1/50,280.828,0.037693948
4/1/50,290.383,0.034024385
7/1/50,308.153,0.061195042
10/1/50,319.945,0.038266705
1/1/51,336,0.0501805
4/1/51,344.09,0.024077381
7/1/51,351.385,0.021200849
10/1/51,356.178,0.013640309
1/1/52,359.82,0.010225224
4/1/52,361.03,0.003362793
7/1/52,367.701,0.018477689
10/1/52,380.812,0.035656688
1/1/53,387.98,0.018822936
4/1/53,391.749,0.009714418
7/1/53,391.171,-0.001475435
10/1/53,385.97,-0.013295975
1/1/54,385.345,-0.001619297
4/1/54,386.121,0.00201378
7/1/54,390.996,0.012625576
10/1/54,399.734,0.022348055
1/1/55,413.073,0.033369691
4/1/55,421.532,0.020478221
7/1/55,430.221,0.020612907
10/1/55,437.092,0.015970861
1/1/56,439.746,0.006071948
4/1/56,446.01,0.014244587
7/1/56,451.191,0.011616331
10/1/56,460.463,0.020550055
1/1/57,469.779,0.02023181
4/1/57,472.025,0.004780971
7/1/57,479.49,0.01581484
10/1/57,474.864,-0.009647751
1/1/58,467.54,-0.015423363
4/1/58,471.978,0.009492236
7/1/58,485.841,0.029372132
10/1/58,499.555,0.028227342
1/1/59,510.33,0.021569197
4/1/59,522.653,0.02414712
7/1/59,525.034,0.004555604
10/1/59,528.6,0.006791941
1/1/60,542.648,0.026575861
4/1/60,541.08,-0.002889534
7/1/60,545.604,0.008361056
10/1/60,540.197,-0.009910118
1/1/61,545.018,0.008924522
4/1/61,555.545,0.019314958
7/1/61,567.664,0.021814614
10/1/61,580.612,0.022809267
1/1/62,594.013,0.023080818
4/1/62,600.366,0.010695052
7/1/62,609.027,0.0144262
10/1/62,612.28,0.005341307
1/1/63,621.672,0.015339387
4/1/63,629.752,0.012997208
7/1/63,644.444,0.023329819
10/1/63,653.938,0.014732079
1/1/64,669.822,0.024289764
4/1/64,678.674,0.013215451
7/1/64,692.031,0.019681025
10/1/64,697.319,0.007641276
1/1/65,717.79,0.029356722
4/1/65,730.191,0.017276641
7/1/65,749.323,0.026201364
10/1/65,771.857,0.030072479
1/1/66,795.734,0.030934487
4/1/66,804.981,0.011620717
7/1/66,819.638,0.018207883
10/1/66,833.302,0.016670774
1/1/67,844.17,0.01304209
4/1/67,848.983,0.005701458
7/1/67,865.233,0.019140548
10/1/67,881.439,0.018730215
1/1/68,909.387,0.031707242
4/1/68,934.344,0.027443762
7/1/68,950.825,0.017639114
10/1/68,968.03,0.018094812
1/1/69,993.337,0.026142785
4/1/69,1009.02,0.015788197
7/1/69,1029.956,0.020748845
10/1/69,1038.147,0.007952767
1/1/70,1051.2,0.012573364
4/1/70,1067.375,0.015387177
7/1/70,1086.059,0.017504626
10/1/70,1088.608,0.002347018
1/1/71,1135.156,0.042759193
4/1/71,1156.271,0.018600968
7/1/71,1177.675,0.018511231
10/1/71,1190.297,0.010717728
1/1/72,1230.609,0.033867178
4/1/72,1266.369,0.029058783
7/1/72,1290.566,0.019107385
10/1/72,1328.904,0.029706346
1/1/73,1377.49,0.036560955
4/1/73,1413.887,0.026422696
7/1/73,1433.838,0.014110746
10/1/73,1476.289,0.029606552
1/1/74,1491.209,0.010106422
4/1/74,1530.056,0.026050674
7/1/74,1560.026,0.019587518
10/1/74,1599.679,0.025418166
1/1/75,1616.116,0.010275186
4/1/75,1651.853,0.022112893
7/1/75,1709.82,0.035092106
10/1/75,1761.831,0.030418991
1/1/76,1820.487,0.033292637
4/1/76,1852.332,0.017492572
7/1/76,1886.558,0.018477249
10/1/76,1934.273,0.025292093
1/1/77,1988.648,0.028111337
4/1/77,2055.909,0.033822476
7/1/77,2118.473,0.030431308
10/1/77,2164.27,0.02161793
1/1/78,2202.76,0.017784288
4/1/78,2331.633,0.058505239
7/1/78,2395.053,0.027199821
10/1/78,2476.949,0.034193815
1/1/79,2526.61,0.020049262
4/1/79,2591.247,0.0255825
7/1/79,2667.565,0.029452229
10/1/79,2723.883,0.021112138
1/1/80,2789.842,0.024215064
4/1/80,2797.352,0.002691909
7/1/80,2856.483,0.021138205
10/1/80,2985.557,0.045186336
1/1/81,3124.206,0.046439911
4/1/81,3162.532,0.012267437
7/1/81,3260.609,0.031012176
10/1/81,3280.818,0.006197922
1/1/82,3274.302,-0.00198609
4/1/82,3331.972,0.017612914
7/1/82,3366.322,0.01030921
10/1/82,3402.561,0.010765162
1/1/83,3473.413,0.020823139
4/1/83,3578.848,0.03035487
7/1/83,3689.179,0.030828635
10/1/83,3794.706,0.028604467
1/1/84,3908.054,0.029870035
4/1/84,4009.601,0.025984032
7/1/84,4084.25,0.018617563
10/1/84,4148.551,0.015743649
1/1/85,4230.168,0.019673616
4/1/85,4294.887,0.015299392
7/1/85,4386.773,0.021394276
10/1/85,4444.094,0.013066781
1/1/86,4507.894,0.014356132
4/1/86,4545.34,0.008306761
7/1/86,4607.669,0.013712726
10/1/86,4657.627,0.010842359
1/1/87,4722.156,0.01385448
4/1/87,4806.16,0.017789332
7/1/87,4884.555,0.016311359
10/1/87,5007.994,0.025271289
1/1/88,5073.372,0.013054728
4/1/88,5190.036,0.022995357
7/1/88,5282.835,0.017880223
10/1/88,5399.509,0.02208549
1/1/89,5511.253,0.020695215
4/1/89,5612.463,0.018364245
7/1/89,5695.365,0.014771055
10/1/89,5747.237,0.009107757
1/1/90,5872.701,0.021830316
4/1/90,5960.028,0.014869989
7/1/90,6015.116,0.00924291
10/1/90,6004.733,-0.001726151
1/1/91,6035.178,0.005070167
4/1/91,6126.862,0.015191598
7/1/91,6205.937,0.012906281
10/1/91,6264.54,0.009443054
1/1/92,6363.102,0.015733318
4/1/92,6470.763,0.016919578
7/1/92,6566.641,0.014817109
10/1/92,6680.803,0.017385144
1/1/93,6729.459,0.007282957
4/1/93,6808.939,0.011810756
7/1/93,6882.098,0.010744552
10/1/93,7013.738,0.019127888
1/1/94,7115.652,0.014530625
4/1/94,7246.931,0.018449328
7/1/94,7331.075,0.011610984
10/1/94,7455.288,0.016943354
1/1/95,7522.289,0.008987044
4/1/95,7580.997,0.007804539
7/1/95,7683.125,0.013471579
10/1/95,7772.586,0.01164383
1/1/96,7868.468,0.01233592
4/1/96,8032.84,0.020889962
7/1/96,8131.408,0.012270629
10/1/96,8259.771,0.015786073
1/1/97,8362.655,0.012456035
4/1/97,8518.825,0.018674691
7/1/97,8662.823,0.016903505
10/1/97,8765.907,0.011899585
1/1/98,8866.48,0.0114732
4/1/98,8969.699,0.011641486
7/1/98,9121.097,0.016878827
10/1/98,9293.991,0.018955395
1/1/99,9411.682,0.012663128
4/1/99,9526.21,0.012168707
7/1/99,9686.626,0.016839436
10/1/99,9900.169,0.022045137
1/1/00,10002.179,0.010303865
4/1/00,10247.72,0.024548751
7/1/00,10318.165,0.006874212
10/1/00,10435.744,0.01139534
1/1/01,10470.231,0.0033047
4/1/01,10599,0.012298583
7/1/01,10598.02,-9.24616E-05
10/1/01,10660.465,0.005892138
1/1/02,10783.5,0.011541241
4/1/02,10887.46,0.009640655
7/1/02,10984.04,0.008870756
10/1/02,11061.433,0.00704595
1/1/03,11174.129,0.010188192
4/1/03,11312.766,0.012406963
7/1/03,11566.669,0.022443936
10/1/03,11772.234,0.017772187
1/1/04,11923.447,0.012844886
4/1/04,12112.815,0.015881984
7/1/04,12305.307,0.015891599
10/1/04,12527.214,0.018033439
1/1/05,12767.286,0.019164038
4/1/05,12922.656,0.012169384
7/1/05,13142.642,0.017023281
10/1/05,13324.204,0.013814726
1/1/06,13599.16,0.020635829
4/1/06,13753.424,0.011343642
7/1/06,13870.188,0.008489813
10/1/06,14039.56,0.012211226
1/1/07,14215.651,0.012542487
4/1/07,14402.082,0.013114489
7/1/07,14564.117,0.011250804
10/1/07,14715.058,0.010363896
1/1/08,14706.538,-0.000578999
4/1/08,14865.701,0.010822601
7/1/08,14898.999,0.002239921
10/1/08,14608.208,-0.019517486
1/1/09,14430.901,-0.012137491
4/1/09,14381.236,-0.003441573
7/1/09,14448.882,0.004703768
10/1/09,14651.248,0.014005651
1/1/10,14764.611,0.00773743
4/1/10,14980.193,0.014601265
7/1/10,15141.605,0.010775028
10/1/10,15309.471,0.011086407
1/1/11,15351.444,0.002741636
4/1/11,15557.535,0.013424861
7/1/11,15647.681,0.005794363
10/1/11,15842.267,0.012435453
1/1/12,16068.824,0.014300794
4/1/12,16207.13,0.008607102
7/1/12,16319.54,0.006935836
10/1/12,16420.386,0.006179463
1/1/13,16629.05,0.012707618
4/1/13,16699.551,0.004239629
7/1/13,16911.068,0.012666029
10/1/13,17133.114,0.013130217
1/1/14,17144.281,0.000651779
4/1/14,17462.703,0.018573074
7/1/14,17743.227,0.01606418
10/1/14,17852.54,0.00616083
1/1/15,17991.348,0.007775252
4/1/15,18193.707,0.011247573
7/1/15,18306.96,0.006224845
10/1/15,18332.079,0.001372101
1/1/16,18425.306,0.005085457
4/1/16,18611.617,0.010111691
7/1/16,18775.459,0.008803211
10/1/16,18968.041,0.010257113
1/1/17,19148.194,0.009497712
4/1/17,19304.506,0.008163276
7/1/17,19561.896,0.013333157
10/1/17,19894.75,0.017015426
1/1/18,20155.486,0.013105769
4/1/18,20470.197,0.015614161
7/1/18,20687.278,0.010604734
10/1/18,20819.269,0.006380298
1/1/19,21013.085,0.009309453
4/1/19,21272.448,0.012342928
7/1/19,21531.839,0.012193754
10/1/19,21706.532,0.008113241
1/1/20,21538.032,-0.00776264
4/1/20,19636.731,-0.08827645
7/1/20,21362.428,0.087881073
10/1/20,21704.706,0.01602243
1/1/21,22313.85,0.028065066
4/1/21,23046.934,0.032853318
7/1/21,23550.42,0.021846116
10/1/21,24349.121,0.033914512
1/1/22,24740.48,0.016072818
4/1/22,25248.476,0.020532989
7/1/22,25723.941,0.018831434
10/1/22,26137.992,0.01609594